lat,long,cpu_min,cpu_max,cpu_avg,disk_min,disk_max,disk_avg,temp_min,temp_max,temp_avg
46.9,97.15,0.2036,0.2249,0.5176,0.4398,0.2338,0.5783,56.44,99.11,4.21
41.4167,-7.6514,0.8958,0.6257,0.409,0.8058,0.4234,0.7951,18.62,53.36,56.06
6.67861,124.72333,0.928,0.2578,0.7095,0.8428,0.7401,0.5613,28.98,45.43,28.41
59.3833,17.9167,0.7352,0.1293,0.4804,0.0665,0.5236,0.067,39.8,33.56,15.92
32.82737,110.3693,0.3198,0.4687,0.9615,0.1689,0.6148,0.8178,8.23,10.41,84.95
37.45,25.4,0.2467,0.1403,0.7979,0.4797,0.6759,0.4112,91.55,7.05,41.64
44.8,126.53333,0.5412,0.2933,0.5974,0.9003,0.5471,0.6743,88.89,13.3,56.67
42.95111,17.11417,0.9082,0.5414,0.1503,0.1619,0.4167,0.1004,18.52,46.53,59.33
43.36889,16.93417,0.7393,0.7358,0.7916,0.8595,0.346,0.5611,54.04,18.4,58.32
-22.22139,-51.30278,0.7701,0.6143,0.6777,0.1179,0.9883,0.3117,51.01,5.03,28.24
32.7582,-97.1003,0.329,0.7045,0.0984,0.9991,0.9731,0.5109,40.97,83.44,23.71
43.96667,116.03333,0.9516,0.5728,0.5121,0.7132,0.1276,0.2934,69.93,60.46,51.76
25.82856,116.32964,0.1111,0.147,0.2186,0.0424,0.3978,0.1194,48.78,64.15,2.39
33.08732,106.7253,0.9482,0.0438,0.2278,0.9516,0.0927,0.4686,64.33,5.08,53.91
50.53532,15.25941,0.2727,0.1439,0.6524,0.8602,0.2977,0.0921,26.77,70.62,86.13
-33.59473,-71.60746,0.9141,0.7395,0.3907,0.9721,0.149,0.2866,43.52,33.25,17.3
5.8844,121.263,0.5441,0.591,0.9658,0.0544,0.9697,0.4807,34.29,4.82,73.37
53.13028,-6.74444,0.1187,0.5261,0.1531,0.9024,0.4539,0.6573,32.46,98.19,10
32.89474,113.45072,0.6573,0.4447,0.342,0.6292,0.0121,0.9957,97.51,59.06,4.56
37.19701,50.15351,0.7426,0.6386,0.1018,0.1493,0.0313,0.587,1.03,99.59,85.03
-17.5,14.98333,0.4187,0.2009,0.7818,0.1605,0.7741,0.0574,10.68,16.31,97.54
-8.10303,156.84186,0.9903,0.7444,0.5677,0.5074,0.8692,0.8693,9.46,66.54,53.06
40.97083,44.50889,0.2959,0.4844,0.9181,0.4498,0.7717,0.0461,12.05,99.42,82.94
8.65462,117.5104,0.0395,0.4935,0.6408,0.7961,0.4122,0.3753,55.29,97.49,85.38
41.79556,129.77583,0.8742,0.5078,0.686,0.5177,0.3963,0.384,17.24,44.4,74.26
22.40485,113.42933,0.709,0.6119,0.5189,0.35,0.6324,0.8524,99.95,82.71,22.58
31.09357,121.49581,0.3306,0.9981,0.9613,0.7373,0.8064,0.7372,92.47,11.49,70.6
40.42056,20.26056,0.4424,0.5676,0.1534,0.8774,0.6819,0.0296,77.78,2.67,55.23
-22.48194,-47.45667,0.0865,0.3187,0.3713,0.861,0.4853,0.4015,40.98,26.61,6.36
52.46621,19.61137,0.476,0.1595,0.3345,0.2664,0.8776,0.3241,8.32,78.28,69.41
12.46338,-3.46075,0.6936,0.2396,0.2208,0.6884,0.8026,0.4233,41.82,5.6,51.3
38.772,-9.292,0.0451,0.3181,0.1881,0.5007,0.9037,0.8701,31.35,46.16,7.9
21.23695,105.70483,0.0876,0.131,0.1553,0.6965,0.2029,0.2891,36.15,6.03,62.31
49.34302,20.10807,0.3796,0.786,0.8819,0.7179,0.0578,0.0887,99.12,95.58,77.71
52.54682,19.70638,0.2504,0.5417,0.1654,0.8935,0.9171,0.528,46.3,38.17,43.83
31.08898,31.59478,0.5233,0.8214,0.4721,0.6416,0.2431,0.1675,63.61,9.55,53.48
52.2138,24.3564,0.0779,0.5342,0.8287,0.1839,0.9379,0.0855,22.21,2.22,64.53
1.39132,125.03436,0.201,0.3432,0.9814,0.326,0.1971,0.086,71.9,98.06,57.26
31.63626,105.15502,0.7066,0.6962,0.4618,0.3802,0.4571,0.5264,13.64,51.2,8.73
34.66667,61.06667,0.5027,0.4988,0.9474,0.1059,0.9622,0.9659,84.88,92.83,43.83
9.98333,39.98333,0.8494,0.4477,0.6797,0.9033,0.4366,0.8942,98.38,89.57,46.23
49.25,4.0333,0.9971,0.171,0.3876,0.3918,0.6867,0.1661,79.97,55.22,58.19
59.92969,30.64465,0.8074,0.77,0.4875,0.5393,0.7104,0.9993,39.63,78.3,76.54
-28.46539,-62.10862,0.291,0.7195,0.5093,0.5791,0.2096,0.4848,29.7,6.36,86.03
12.5311,-13.1224,0.3377,0.7454,0.1547,0.1403,0.3265,0.8825,49.03,35.43,13.26
24.3652,-104.2548,0.4169,0.6436,0.5206,0.5788,0.9157,0.4877,58.49,38.46,50.14
-20.62639,-49.64917,0.3259,0.8967,0.832,0.3401,0.2984,0.4048,1.73,92.55,90.55
8.8225,125.6975,0.3577,0.5449,0.1542,0.4513,0.7316,0.7689,78.63,77.85,3.76
22.78863,100.97481,0.1526,0.3036,0.2558,0.6135,0.7307,0.5573,68.8,5.17,20.01
-17.98674,-63.38118,0.1743,0.6736,0.6414,0.3959,0.8035,0.8309,62.63,89.66,91.84
13.6588,124.37,0.2837,0.2223,0.1404,0.1743,0.7955,0.7145,25.99,97.99,97.91
38.8333,-9.4,0.6951,0.3725,0.1784,0.4012,0.3878,0.3598,38.99,0.88,79.22
-27.65036,27.23488,0.4004,0.3817,0.9516,0.3471,0.3595,0.2685,1.11,3.02,93.7
42.05807,120.67199,0.6596,0.7773,0.9214,0.1947,0.4834,0.8822,74.88,24.52,55.02
-23.11,-50.3675,0.9222,0.4542,0.5918,0.8797,0.4945,0.95,12.81,19.3,98.29
52.03171,113.50087,0.7776,0.0769,0.1093,0.4559,0.902,0.6835,51.26,67.17,43.6
51.74558,15.59492,0.785,0.2289,0.6278,0.3739,0.2607,0.2969,65.81,20.76,70.05
-6.6027,111.0133,0.8557,0.4774,0.3196,0.8403,0.7184,0.06,11.97,80.37,9.45
39.7862,-8.7191,0.3659,0.3358,0.3371,0.4891,0.0879,0.6031,31.42,36.66,42.24
41.09822,120.74792,0.6921,0.9518,0.301,0.6165,0.5754,0.8674,58.92,47.97,97
-39.8873,-73.43101,0.4395,0.6374,0.7115,0.4597,0.9966,0.0328,69.46,73.99,37.88
40.91889,78.72278,0.344,0.4065,0.4698,0.9681,0.2222,0.5617,30.01,95.29,17.84
2.9264,101.6964,0.5513,0.8728,0.0493,0.4029,0.9324,0.8876,21.37,12.54,9.27
26.3573,117.96657,0.673,0.1046,0.7149,0.8471,0.6275,0.248,73.42,29.35,49.14
-8.7493,115.5858,0.9322,0.8925,0.8266,0.1322,0.4865,0.684,48.57,53.96,70
25.41615,115.79217,0.8319,0.2966,0.8151,0.6044,0.193,0.6643,81.6,51.91,57.03
33.70389,118.67917,0.6088,0.1535,0.3601,0.5913,0.95,0.4826,21.38,14.87,20.15
-11.80694,-39.38556,0.4954,0.0084,0.7711,0.2078,0.8378,0.5522,27.92,8.08,97.88
-8.3812,114.6354,0.8422,0.8883,0.8505,0.2496,0.1836,0.0461,6.65,99.18,51.04
32.03317,34.89091,0.9735,0.6508,0.0102,0.3667,0.3392,0.8388,63.16,69.91,13.55
28.83943,114.61005,0.6612,0.5392,0.1127,0.8996,0.82,0.7516,3.85,37.06,15.28
53.93366,18.32262,0.8902,0.5343,0.6277,0.321,0.1561,0.9271,81.01,17.07,42.82
60.1905,11.9977,0.433,0.4126,0.7031,0.7011,0.8302,0.8221,53.62,70.79,26.64
7.07993,-74.6989,0.8475,0.3819,0.029,0.4884,0.3174,0.5725,53.59,96.67,8.95
20.8912,-98.8341,0.2833,0.6251,0.8592,0.5438,0.0065,0.2394,52.84,87.47,56.4
26.7167,-101.9667,0.2934,0.6863,0.8658,0.7453,0.4636,0.4434,87.55,41.15,40.59
25.06305,34.89005,0.1938,0.2564,0.4278,0.5013,0.0578,0.6967,80.25,42.43,49.74
8.09263,-76.72822,0.058,0.8046,0.6511,0.0291,0.977,0.9638,12.54,18.63,18.44
40.98444,110.72111,0.8064,0.7039,0.4998,0.5619,0.8313,0.8412,44.28,1.48,70.52
60.0288,37.8084,0.8335,0.5787,0.1848,0.4356,0.1003,0.7095,9.88,98.3,13.4
56.74278,24.39444,0.7072,0.9735,0.8637,0.0535,0.8354,0.9995,13.58,45.25,17.42
48.66634,-123.41933,0.8798,0.1537,0.763,0.6449,0.4375,0.8781,5.66,11.9,44.5
56.44222,60.18778,0.993,0.4373,0.7978,0.3239,0.2394,0.8347,38.01,48.83,17.23
13.98333,108,0.7172,0.9091,0.5964,0.5954,0.5276,0.4777,18.4,90.74,77.13
19.37972,98.44644,0.5035,0.1981,0.3646,0.1126,0.9256,0.4826,0.75,78.27,22.8
45.475,4.3761,0.8557,0.8174,0.9627,0.189,0.0539,0.5593,61.86,66.33,15.87
12.72676,-86.38058,0.3812,0.7219,0.6007,0.4761,0.0169,0.5387,30.47,83.98,54.52
40.88111,20.18278,0.5584,0.3261,0.8649,0.1765,0.0757,0.0685,93.38,66.52,15.59
-8.3702,113.4752,0.6441,0.8788,0.4235,0.5373,0.3244,0.98,86.03,54.94,57.82
55.76667,37.83333,0.3907,0.8798,0.8076,0.7816,0.3468,0.7564,77.79,68.46,25.02
-26.17753,-58.17814,0.846,0.2928,0.1362,0.9943,0.9098,0.3884,25.07,57.04,65.37
55.88333,37.48333,0.4674,0.0844,0.4732,0.222,0.2279,0.3231,2.08,52.89,32.03
9.62139,125.96667,0.1484,0.2422,0.5618,0.2762,0.2596,0.3366,17.42,6.14,38.38
40.83674,44.42494,0.3569,0.4755,0.5982,0.7313,0.6167,0.7213,32.71,99.49,39.89
6.95167,125.09694,0.1531,0.3052,0.8788,0.5766,0.4459,0.2757,5.97,7.8,64.66
50.34071,30.42356,0.4638,0.2426,0.3319,0.3184,0.2239,0.1257,76.74,42.46,9.23
45.13092,20.06698,0.1965,0.4797,0.9466,0.9315,0.0684,0.9734,20.51,37.77,43.36
37.376,97.37457,0.0223,0.1276,0.0788,0.3724,0.0154,0.682,49.25,10.96,89.84
24.78756,102.4279,0.4028,0.601,0.6129,0.3821,0.571,0.159,76.79,70.06,81.79
-8.5707,115.2389,0.3691,0.6226,0.5953,0.9876,0.9867,0.1231,81.06,73.78,94.35
6.7,11.26667,0.0711,0.5272,0.0431,0.1348,0.0181,0.1571,21.12,0.48,14.81
7.33306,125.5475,0.0857,0.625,0.9446,0.137,0.4813,0.6324,8.47,88.33,35.01
22.56166,111.99942,0.3592,0.7653,0.9873,0.6598,0.7415,0.065,37.34,69.66,21.27
29.99785,115.6121,0.9745,0.6189,0.2337,0.2916,0.6007,0.4498,67.84,36.54,95.65
47.87928,38.48492,0.2456,0.2486,0.7425,0.0982,0.994,0.0456,71.25,7.88,72.74
49.2567,2.4848,0.3143,0.0631,0.3216,0.9622,0.4927,0.6598,89.1,15.03,3.92
42.2368,46.83073,0.5183,0.2266,0.1233,0.3462,0.019,0.3142,97.26,95.18,37.73
51.32372,-113.60475,0.3719,0.6624,0.2202,0.8663,0.0055,0.3365,55.45,35.34,74.8
50.53439,36.68462,0.8908,0.5194,0.8585,0.1834,0.6246,0.2704,91.18,99.35,51.72
10.151,122.9978,0.8516,0.7507,0.2186,0.9587,0.8351,0.7369,33.09,69.79,82.7
29.706,107.39575,0.1923,0.4716,0.0636,0.9987,0.9255,0.555,23.29,20.91,41.42
50.53247,15.8202,0.931,0.6412,0.6511,0.7689,0.8235,0.2625,15.27,38.31,25.82
10.46168,-74.61621,0.7444,0.8807,0.8932,0.4499,0.6849,0.8197,43.85,6.88,29.05
-40.04811,-70.0741,0.4606,0.2086,0.1922,0.2087,0.2567,0.102,18.78,94.76,3.83
24.24984,89.91655,0.4134,0.3437,0.4636,0.605,0.3133,0.5227,37.04,85.7,82.35
14.52917,-90.18417,0.3248,0.2613,0.1467,0.2477,0.7068,0.5476,69.86,57.73,76.13
-1.69823,102.9976,0.4606,0.9415,0.6041,0.9445,0.1272,0.9287,56.18,23.5,75.51
14.327,100.40433,0.2223,0.2588,0.5907,0.2435,0.3908,0.0329,29.65,37.15,78.58
52.1449,93.91887,0.4202,0.4723,0.4897,0.3108,0.7275,0.1219,12.13,40.67,73.74
41.2333,-8.5333,0.2291,0.3009,0.0577,0.6185,0.8035,0.8109,43.72,66.42,31.31
55.68333,37.55,0.9703,0.2303,0.8626,0.8625,0.1594,0.4528,38.61,1.57,39.22
46.53452,127.12052,0.5549,0.9764,0.3068,0.1342,0.0293,0.17,31.02,5.18,70.45
16.877,43.52499,0.2277,0.9779,0.113,0.6792,0.7287,0.1589,5.66,91.15,15.42
41.53,-8.3567,0.4268,0.1409,0.256,0.7039,0.307,0.5554,67.87,56.05,22.33
6.29678,101.72844,0.2954,0.4181,0.9393,0.4533,0.7049,0.7176,5.41,27.93,45.67
53.1,6.1,0.0966,0.8181,0.6058,0.9593,0.2008,0.6535,14.02,63.84,6.3
40.43861,19.84444,0.264,0.745,0.6145,0.6492,0.6498,0.3568,29.98,95,17.13
51.55,-9.26667,0.6748,0.7911,0.2721,0.7943,0.0857,0.9719,20.96,41.44,65.9
59.4439,18.0687,0.9037,0.1748,0.5701,0.1153,0.0449,0.8067,83.81,51.62,33.61
54.68916,25.2798,0.1027,0.2925,0.1456,0.4425,0.2188,0.6575,52.84,73.33,56.46
-26.4125,-49.07306,0.8209,0.6989,0.1913,0.9615,0.0954,0.0492,94.6,37,36.82
10.00169,-67.01464,0.465,0.4476,0.5238,0.5795,0.9497,0.2285,34.19,60.99,64.26
11.41667,125.16667,0.948,0.0832,0.1753,0.7433,0.9857,0.8482,6.72,94.93,28.5
7.48333,124.25,0.262,0.9871,0.1574,0.1283,0.3479,0.3697,91.63,22.22,17.98
36.0275,-80.2073,0.0012,0.4686,0.9421,0.6479,0.9825,0.7268,29.24,89.65,69.35
-9.30667,-35.94333,0.9754,0.887,0.3032,0.5851,0.8321,0.1694,88.27,27.52,95.37
49.09965,17.54961,0.4103,0.8739,0.3915,0.7906,0.3236,0.1957,78.69,88.12,0.1
13.3347,121.861,0.177,0.705,0.2466,0.6079,0.7081,0.419,92.1,43.18,10.82
38.8976,-77.027,0.7456,0.5834,0.1095,0.356,0.9578,0.8111,67.1,40.93,75.2
52.74045,20.94372,0.3925,0.1211,0.792,0.2383,0.5931,0.662,37.47,32.02,62.17
34.6401,50.8764,0.2482,0.1071,0.2363,0.8971,0.6761,0.348,21.31,56,92.68
37.82566,126.98349,0.9168,0.301,0.2716,0.2713,0.463,0.908,4.92,63.62,89.8
59.3326,18.0649,0.9368,0.7879,0.8174,0.8606,0.1791,0.6649,96.61,39.07,41.59
-21.09,-45.56583,0.0287,0.4709,0.2133,0.1631,0.6537,0.5102,65.06,85.88,41.1
59.6162,16.5528,0.5311,0.3384,0.9257,0.9114,0.4063,0.4427,77.54,20.92,4.48
37.9332,23.53147,0.2604,0.972,0.0311,0.9203,0.9366,0.5837,72.19,3.65,2.72
-6.1544,106.0625,0.6536,0.2462,0.1925,0.5159,0.8698,0.1006,18.75,44.58,11.69
-6.9495,112.4288,0.7898,0.8759,0.4405,0.8257,0.0191,0.5886,69.75,39.93,80.91
23.17097,90.20935,0.3012,0.1455,0.059,0.4793,0.079,0.0928,16.11,51.4,71.22
22.85335,115.45917,0.9818,0.4997,0.6198,0.9429,0.9445,0.1206,93.6,99.37,64.35
14.51833,-90.72667,0.1128,0.1639,0.618,0.9918,0.9068,0.3913,75.81,5.49,34.96
14.19528,120.87694,0.7825,0.4286,0.8351,0.7937,0.9021,0.5421,57.01,27.99,25.15
34.7269,-92.344,0.4994,0.1452,0.0076,0.4204,0.9644,0.5845,35.33,69.85,12.32
40.48866,21.55768,0.9041,0.9824,0.1015,0.4807,0.4561,0.0281,9.03,52.69,85.78
53.45446,56.04149,0.6965,0.6036,0.484,0.4892,0.532,0.8659,84,62.04,58.91
47.07472,35.14444,0.7071,0.6315,0.0606,0.7788,0.6158,0.2585,5.57,56.47,71.07
27.69944,119.06,0.0109,0.3766,0.4239,0.1981,0.2593,0.8358,35.81,47.8,52.3
32.03728,105.46686,0.2892,0.9783,0.7575,0.8994,0.2967,0.6231,51.54,66.04,41.54
-4.86736,104.70308,0.6822,0.677,0.6487,0.5829,0.337,0.8852,4.57,40.79,23.31
-9.687,124.4804,0.1492,0.2367,0.9898,0.676,0.9081,0.4181,70.33,78.93,97.91
54.24111,16.88968,0.3876,0.512,0.179,0.3448,0.9567,0.5966,91.81,66.7,6.78
9.8,35.1,0.1747,0.6884,0.7175,0.2349,0.1478,0.7435,52.66,38.45,15
40.38118,23.92374,0.633,0.8246,0.0367,0.6578,0.1485,0.4127,78.52,50.72,14.72
-7.3522,108.5712,0.5126,0.5035,0.7236,0.088,0.2937,0.6555,41.63,98.25,64.34
55.68333,37.48333,0.5269,0.4564,0.7552,0.4114,0.9252,0.6333,25.72,65.51,30.04
25.30651,118.83033,0.2945,0.4382,0.5201,0.0274,0.5099,0.8033,38.82,45.08,39.12
50.09885,139.12284,0.2205,0.2108,0.0933,0.4802,0.2302,0.5279,59.59,5.32,38.84
-4.36667,38.05,0.2668,0.3488,0.0477,0.8333,0.002,0.3136,82.69,92.42,49.1
45.76195,130.85131,0.9921,0.7919,0.8722,0.6792,0.7149,0.062,39.08,19.59,50.94
27.8272,116.46032,0.7036,0.3622,0.5734,0.7964,0.1365,0.2426,96.29,2.23,98.75
35.07318,105.974,0.0361,0.2635,0.024,0.2036,0.1979,0.7274,21.29,17.04,55.92
55.63546,37.8445,0.5662,0.8464,0.9488,0.4262,0.8192,0.9376,35.04,44.75,67.04
44.54611,15.37472,0.2708,0.1348,0.0004,0.7329,0.2103,0.7022,87,58.8,59.91
-26.08111,-53.055,0.1471,0.8936,0.8857,0.0481,0.3546,0.0516,0.39,61.83,26.93
48.8565,2.321,0.5175,0.5844,0.8806,0.5563,0.1132,0.3386,44.98,85.73,24.38
24.1513,113.92678,0.0861,0.5097,0.6632,0.9903,0.9471,0.239,27.87,89.25,57.9
40.83417,20.11194,0.8583,0.8519,0.3593,0.5029,0.6227,0.3975,66.64,61.49,4.87
50.01822,19.31671,0.5198,0.6387,0.9986,0.4235,0.0306,0.5323,36.95,87.93,94.55
32.11926,35.12896,0.2178,0.5307,0.7238,0.3619,0.1748,0.5906,48.6,42.23,43.71
7.4275,125.8819,0.6245,0.2891,0.6295,0.504,0.9657,0.9373,53.86,89.02,56.91
62.81667,28.5,0.3029,0.1739,0.3465,0.989,0.8543,0.4781,35.26,3.87,59.07
41.68333,24.28333,0.1456,0.846,0.9838,0.011,0.9669,0.7254,56.62,25.59,34.58
-8.2631,113.8575,0.2416,0.4585,0.9037,0.479,0.4846,0.1355,23.1,1.08,37.87
55.75222,37.61556,0.8769,0.1527,0.5363,0.8182,0.6397,0.826,70.37,98.57,70.07
-7.7778,108.3815,0.7664,0.9705,0.1919,0.9412,0.4833,0.4459,99.43,63.72,5.22
-14.55656,30.8149,0.0232,0.4489,0.0752,0.3738,0.2832,0.9226,72.4,43.52,0.09
47.6833,16.6,0.2532,0.5315,0.8331,0.4044,0.9885,0.837,73.19,48.54,93.62
33.98083,35.61778,0.3669,0.717,0.6306,0.3813,0.4347,0.754,8.17,25.62,77.23
47.44742,101.75503,0.5202,0.841,0.5736,0.1182,0.2687,0.266,83.1,6.8,60.1
41.74194,125.38944,0.0204,0.014,0.3752,0.9582,0.5215,0.2658,11.95,51.32,4.38
32.9,99.58333,0.0714,0.0788,0.7875,0.469,0.0096,0.936,99.5,41.13,35.24
6.72736,124.15117,0.7797,0.3858,0.6306,0.3639,0.739,0.5446,17.53,67.89,97.08
-21.01028,-42.84056,0.6631,0.2995,0.9317,0.9088,0.1471,0.1803,65.95,67.32,2.71
29.82356,116.40992,0.7929,0.9947,0.0828,0.6239,0.8395,0.3525,86.33,84.58,44.48
37.1958,-7.9292,0.8557,0.8306,0.9378,0.1,0.0684,0.0966,89.54,78.9,38.57
11.99528,125.44722,0.9909,0.8263,0.9438,0.441,0.5514,0.0256,30.49,56.01,34.46
40.41344,23.0075,0.2294,0.3818,0.3531,0.3763,0.9856,0.4997,90.89,30.81,36.11
-7.2061,107.9456,0.4091,0.0358,0.7995,0.2059,0.4007,0.8527,40.42,24.46,97.06
-0.16969,31.75847,0.7736,0.561,0.54,0.7235,0.8348,0.6746,2.12,83.5,94.67
43.10562,131.87353,0.8035,0.0188,0.6211,0.9918,0.6158,0.0357,34.41,55.94,10.1
51.25,22.56667,0.04,0.7216,0.8617,0.6315,0.9229,0.1911,54.44,56.14,78.7
-6.954,111.3802,0.0888,0.4224,0.0903,0.5149,0.9041,0.3016,6.8,13.08,71.44
14.12388,120.8922,0.4883,0.2365,0.3254,0.4024,0.0845,0.6248,2.51,30.9,42.92
54.64043,32.87811,0.0793,0.0838,0.8135,0.7761,0.468,0.583,91.39,40.46,54.62
38.52,-8.9067,0.8062,0.9009,0.9384,0.1698,0.6264,0.1182,55.96,7.77,51.48
53.14214,17.60181,0.7131,0.4589,0.3841,0.8286,0.353,0.5967,10.9,16.74,45.06
41.29862,112.71516,0.0657,0.5914,0.1286,0.313,0.422,0.4768,97.41,60.09,34.18
51.13326,20.96174,0.4841,0.5162,0.7896,0.4848,0.0649,0.4481,13.05,24.76,15.85
22.6489,114.19612,0.6901,0.3756,0.0821,0.4331,0.4388,0.0719,11.75,11.57,5.77
28.12571,117.22778,0.6478,0.9676,0.1742,0.1863,0.3163,0.015,75.64,16.76,37.1
28.16992,105.43452,0.9927,0.94,0.6994,0.6947,0.2342,0.411,53.41,78.96,31.15
-8.1675,124.8507,0.3943,0.9782,0.3746,0.6329,0.1655,0.5095,73.62,42.36,68.07
-8.2443,114.9625,0.5741,0.03,0.1595,0.5216,0.7642,0.5898,67.59,40.47,26.86
31.59618,35.0296,0.7492,0.396,0.6642,0.7426,0.2999,0.3142,29.34,82.71,81.81
